MELASTA Melasta High Drain Type LiPo & LiFePO4 Battery Model List (Version 2019) ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cell Model No.,Max Continuous Charge Rate,Max Continuous Discharge Rate,Nominal Voltage,Charge Voltage,Capacity,The Max Discharge Current of the Tabs,Weight,Impedance, Cells' Dimensions (mm),,,Distance between Two Tabs,Cell Material,Standard Size of Tabs (mm),,,Sealing Width (mm),
,( C ),( C ),(V),(V),(mAh),(A),(g),（mΩ),L,W,T,(mm),,L1,W,T,H,
SLPB6630048,1C,40,3.7V,4.2V,730,48,18.0±1.0,3.4±0.7,49.5±0.5,30.0±0.5,6.4±0.2,14±1,LCO,18.0±1.0,6,0.2,5.0±0.2,
SLPB7043080,2C,40,3.7V,4.2V,2000,120,48.0±1.5,1.6±0.3,81.0±0.5,43.0±0.5,6.7±0.3,21±1,LCO,18.0±1.0,15,0.2,5.0±0.2,
SLPB8674133HV,1C,5,3.85V,4.4V,12000,160,176.0±5.0,1.4±0.3,132.0±1.0,73.5±1.0,8.3±0.3,35±1,LCO+NCM,10.0±1.0,20,0.2,8.3±0.2,
SLPBA385155,10A,10,3.7V,4.2V,16800,200,301.0±5.0,0.8±0.2,154.0±1.0,84.5±1.0,10.2±0.3,38±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
LFP8041072,1C,1,3.2V,3.65V,2050,20,44.0±2.0,8.0±2.0,73.0±0.5,41.0±0.5,7.6±0.3,18.5±1,LiFePO4,10.0±1.0,5,0.1,5.0±0.2,
LFP6230048,1C,1,3.2V,3.65V,650,16,15.0±1.5,30.0±10.0,49.0±0.5,30.0±0.5,5.8±0.2,14±1,LiFePO4,17.0±1.0,4,0.1,4.0±0.2,
LFP8678156,10A,25,3.2V,3.65V,8000,160,197.0±3.0,0.9±0.3,153.5±0.5,78.0±0.5,8.2±0.3,35±1,LiFePO4,10.0±1.0,20,0.2,8.3±0.2,
SLPB9375170,10A,15,3.7V,4.2V,12000,160,239.0±5.0,0.9±0.2,169.0±1.0,74.0±1.0,9.0±0.3,40±1,LCO,10.0±1.0,20,0.2,15.0±0.2,
SLPB7330048,1C,35,3.7V,4.2V,800,80,21.0±1.5,3.5±0.7,50.0±0.5,30.0±0.5,7.0±0.3,14±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7445135,2C,25,3.7V,4.2V,4500,120,95.0±2.5,1.2±0.2,135.0±0.5,45.0±0.5,6.7±0.3,22±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
