MELASTA Melasta High Drain Type LiPo & LiFePO4 Battery Model List (Version 2019) ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cell Model No.,Max Continuous Charge Rate,Max Continuous Discharge Rate,Nominal Voltage,Charge Voltage,Capacity,The Max Discharge Current of the Tabs,Weight,Impedance, Cells' Dimensions (mm),,,Distance between Two Tabs,Cell Material,Standard Size of Tabs (mm),,,Sealing Width (mm),
,( C ),( C ),(V),(V),(mAh),(A),(g),（mΩ),L,W,T,(mm),,L1,W,T,H,
LFP9945090,1C,3,3.2V,3.65V,3600,32,77.0±2.5,8.0±4.0,91.0±0.5,45.0±0.5,9.7±0.2,18±1,LiFePO4,10.0±1.0,8,0.1,5.0±0.2,
SLPB8043080,1C,5,3.7V,4.2V,3400,48,59.0±2.0,3.2±0.6,83.0±0.5,43.0±0.5,7.7±0.3,25±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB7845150,10A,25,3.7V,4.2V,5000,96,110.0±2.5,1.1±0.2,150.0±0.5,45.0±0.5,7.5±0.3,20±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB6829078,1C,30,3.7V,4.2V,1200,64,28.0±1.5,3.2±0.6,77.0±0.5,28.5±0.5,6.6±0.2,14±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB6742126,2C,30,3.7V,4.2V,3700,96,77.5±2.0,1.6±0.3,127.0±0.5,42.0±0.5,6.5±0.2,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB6042126,1C,5,3.7V,4.2V,3900,80,68.0±2.0,3.0±0.6,127.0±0.5,42.0±0.5,5.8±0.2,21±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPBA042126,10A,25,3.7V,4.2V,5500,120,114.0±2.5,1.1±0.2,127.5±0.5,42.0±0.5,9.7±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB5649073,2C,15,3.7V,4.2V,2000,64,39.5±1.5,3.2±0.6,73.5±0.5,49.0±0.5,5.4±0.2,25±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB6434082,2C,20,3.7V,4.2V,1800,64,37.0±1.5,3.1±0.6,83.0±0.5,34.0±0.5,6.2±0.2,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB7548150,10A,15,3.7V,4.2V,6000,96,116.0±2.5,1.3±0.3,150.0±0.5,48.0±0.5,7.2±0.3,25±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB8342126,2C,30,3.7V,4.2V,4500,120,95.5±2.5,1.3±0.3,127.0±0.5,42.0±0.5,8.0±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB6324064,1C,15,3.7V,4.2V,900,48,18.5±1.0,7.0±1.4,65.5±0.5,24.0±0.5,6.1±0.2,11±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB7735062,2C,25,3.7V,4.2V,1600,80,34.0±1.5,3.1±0.6,63.0±0.5,35.0±0.5,7.4±0.3,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7251080,1C,5,3.7V,4.2V,3500,64,61.0±2.0,3.5±0.7,81.0±0.5,51.0±0.5,6.9±0.3,25±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB6642058,2C,20,3.7V,4.2V,1500,64,31.5±1.5,3.5±0.7,59.0±0.5,42.0±0.5,6.4±0.2,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB9045135,10A,15,3.7V,4.2V,6100,120,117.5±2.5,1.3±0.3,135.5±0.5,45.0±0.5,8.7±0.3,20±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB7270175,10A,10,3.7V,4.2V,10000,144,187.5±3.0,1.1±0.2,173.0±1.0,69.5±0.5,6.9±0.3,32±1,LCO,10.0±1.0,18,0.2,8.3±0.2,
SLPB7345135,1C,5,3.7V,4.2V,5400,96,94.5±2.5,2.3±0.5,135.0±0.5,45.0±0.5,7.0±0.3,20±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB9624048,1C,20,3.7V,4.2V,1000,32,21.0±1.5,5.6±1.1,49.5±0.5,24.0±0.5,9.3±0.3,12±1,LCO,10.0±1.0,4,0.2,4.0±0.2,
SLPB7364159,10A,20,3.7V,4.2V,7500,160,154.0±3.0,0.9±0.3,158.5±0.5,64.0±0.5,7.0±0.3,29±1,LCO,10.0±1.0,20,0.2,8.3±0.2,
SLPB6442126,2C,25,3.7V,4.2V,3550,96,74.5±2.0,1.7±0.3,127.0±0.5,42.0±0.5,6.2±0.2,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB5036128,2C,20,3.7V,4.2V,2200,64,46.5±1.5,2.7±0.5,128.0±0.5,36.0±0.5,4.8±0.2,15±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB9864159,1C,5,3.7V,4.2V,12500,120,213.0±5.0,1.2±0.2,158.5±0.5,64.0±0.5,9.5±0.3,29±1,LCO,10.0±1.0,15,0.2,8.3±0.2,
SLPB7058150,1C,5,3.7V,4.2V,7650,96,133.5±3.0,1.8±0.4,151.0±0.5,58.0±0.5,6.7±0.3,24±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPBA642126,10A,10,3.7V,4.2V,6800,120,126.0±2.5,1.2±0.2,127.5±0.5,42.0±0.5,10.3±0.3,21.0±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB7834096,1C,5,3.7V,4.2V,3200,48,55.0±2.0,3.6±0.7,97.0±0.5,34.0±0.5,7.5±0.3,17.5±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB8334096,1C,5,3.7V,4.2V,3400,48,58.0±2.0,3.6±0.7,97.0±0.5,34.0±0.5,8.0±0.3,17.5±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB9875175HV,10A,10,3.8V,4.35V,16000,200,277.0±5.0,0.8±0.2,174.5±0.5,74.5±0.5,9.5±0.3,38±1,LCO+NCM,10.0±1.0,25,0.2,8.3±0.2,
SLPB7034096,2C,25,3.7V,4.2V,2200,80,47.0±1.5,2.4±0.5,97.0±0.5,33.5±0.5,6.7±0.3,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB8024037,1C,15,3.7V,4.2V,600,32,12.7±1.0,9.9±2.0,37.5±0.5,24.0±0.5,7.7±0.3,12.5±1,LCO,10.0±1.0,4,0.2,3.4±0.2,
SLPB7950140,10A,15,3.7V,4.2V,6100,120,118.0±3.0,1.2±0.2,140.0±0.5,50.0±0.5,7.6±0.3,24±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB6530082,2C,10,3.7V,4.2V,1650,48,32.0±1.5,4.5±0.9,83.0±0.5,30.0±0.5,6.3±0.2,13±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB6434106,2C,20,3.7V,4.2V,2200,64,46.5±1.5,2.5±0.5,106.0±0.5,34.0±0.5,6.2±0.2,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB6970135,1C,5,3.7V,4.2V,8100,80,141.0±3.0,1.7±0.3,135.5±0.5,70.0±0.5,6.7±0.2,25±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7051175,1C,5,3.7V,4.2V,8000,120,137.0±3.0,1.8±0.4,176.5±0.5,50.5±0.5,6.7±0.3,26±1,LCO,10.0±1.0,15,0.2,8.3±0.2,
SLPB9036128,10A,8,3.7V,4.2V,5000,80,91.0±2.0,2.2±0.4,128.5±0.5,36.0±0.5,8.7±0.3,17±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7236128,2C,25,3.7V,4.2V,3000,80,67.0±2.0,1.8±0.4,128.5±0.5,36.0±0.5,6.9±0.3,17±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB6942058,2C,10,3.7V,4.2V,1800,64,35.0±1.5,4.2±0.8,58.0±0.5,42.0±0.5,6.7±0.2,21±1,LCO,10.0±1.0,8,0.2,4.0±0.2,
SLPBA542126,10A,10,3.7V,4.2V,6550,96,122.5±3.0,1.4±0.3,127.5±0.5,42.0±0.5,10.2±0.3,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB7842080,1C,5,3.7V,4.2V,3150,64,56.0±1.5,2.7±0.5,81.0±0.5,41.5±0.5,7.5±0.3,16.5±1,LCO,10.0±1.0,8,0.2,4.0±0.2,
SLPB5946143,2C,30,3.7V,4.2V,3800,96,80.5±2.0,1.6±0.3,144.0±0.5,46.0±0.5,5.7±0.2,23±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB6334122,2C,10,3.7V,4.2V,2800,64,54.0±1.5,2.8±0.6,122.0±0.5,34.0±0.5,6.1±0.2,15±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB6435062,1C,15,3.7V,4.2V,1400,48,27.5±1.5,4.5±0.9,63.0±0.5,34.5±0.5,6.2±0.2,19±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB7035062,2C,15,3.7V,4.2V,1550,48,30.5±1.5,3.8±0.8,63.0±0.5,34.5±0.5,6.7±0.3,16±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB7050060,2C,20,3.7V,4.2V,2000,64,41.5±1.5,3.2±0.6,61.0±0.5,49.5±0.5,6.7±0.3,25±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB7558150,10A,30,3.7V,4.2V,6800,120,143.0±3.0,0.9±0.3,151.0±0.5,58.0±0.5,7.2±0.3,24±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB7734122,2C,10,3.7V,4.2V,3500,64,67.5±1.5,2.4±0.5,122.5±0.5,34.0±0.5,7.4±0.3,15±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB8130048,1C,30,3.7V,4.2V,1000,64,22.0±1.5,4.5±0.9,50.0±0.5,30.0±0.5,7.8±0.3,14±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB8265146,10A,10,3.7V,4.2V,9450,144,174.0±3.0,1.1±0.2,146.0±0.5,65.0±0.5,7.9±0.3,30±1,LCO,10.0±1.0,18,0.2,5.0±0.2,
SLPB8459156,10A,30,3.7V,4.2V,8000,160,166.0±3.0,1.0±0.2,156.0±0.5,59.0±0.5,8.1±0.3,29±1,LCO,10.0±1.0,20,0.2,5.0±0.2,
SLPB5846143,2C,20,3.7V,4.2V,3800,80,79.5±2.0,1.7±0.3,144.0±0.5,46.0±0.5,5.6±0.2,23±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB8136128,2C,25,3.7V,4.2V,3600,80,78.5±2.0,1.6±0.3,128.5±0.5,36.0±0.5,7.8±0.3,18±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7230048,1C,30,3.7V,4.2V,800,64,20.0±1.0,4.7±0.9,49.5±0.5,30.0±0.5,6.9±0.3,14±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB7230048,1C,35,3.7V,4.2V,800,64,20.5±1.0,3.5±0.7,49.5±0.5,30.0±0.5,6.9±0.3,14±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB6749135,2C,30,3.7V,4.2V,4400,120,95.0±2.5,1.4±0.3,136.0±0.5,49.0±0.5,6.5±0.2,25±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB5234100,2C,20,3.7V,4.2V,1750,64,37.5±1.5,3.1±0.6,100.5±0.5,34.5±0.5,5.0±0.2,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB9038110,2C,20,3.7V,4.2V,3800,80,78.5±2.0,1.7±0.3,111.0±0.5,38.0±0.5,8.7±0.3,20±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB8536128,2C,15,3.7V,4.2V,4200,80,82.0±2.0,1.9±0.4,128.5±0.5,36.0±0.5,8.2±0.3,17±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB8636128,2C,20,3.7V,4.2V,4000,80,83.0±2.0,1.6±0.3,128.5±0.5,36.0±0.5,8.3±0.3,17±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB8042126,2C,20,3.7V,4.2V,4400,96,91.0±2.5,1.5±0.3,127.0±0.5,42.0±0.5,7.7±0.3,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB6030060,1C,25,3.7V,4.2V,1000,48,22.0±1.0,4.7±0.9,61.5±0.5,30.0±0.5,5.8±0.2,13±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB6635062,1C,20,3.7V,4.2V,1300,64,28.0±1.5,3.9±0.8,63.0±0.5,35.0±0.5,6.4±0.2,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB6830085,2C,30,3.7V,4.2V,1600,64,35.0±1.5,3.1±0.6,86.0±0.5,30.0±0.5,6.6±0.2,14±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB5730048,1C,15,3.7V,4.2V,770,48,16.0±1.0,6.8±1.4,49.5±0.5,30.5±0.5,5.5±0.2,14±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB6630048,1C,30,3.7V,4.2V,850,64,19.0±1.0,5.1±1.0,50.0±0.5,30.0±0.5,6.4±0.2,14±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB8570175HV,1C,5,3.8V,4.35V,13800,144,224.0±5.0,1.2±0.2,173.5±1.0,69.5±0.5,8.3±0.3,32±1,LCO+NCM,10.0±1.0,18,0.2,8.3±0.2,
SLPB6042126,2C,15,3.7V,4.2V,3300,80,66.5±2.0,2.2±0.4,127.0±0.5,42.0±0.5,5.8±0.2,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7842126,2C,20,3.7V,4.2V,4500,80,91.0±2.5,1.4±0.3,127.0±0.5,42.0±0.5,7.5±0.3,15±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB6534106,2C,30,3.7V,4.2V,2200,80,47.0±1.5,2.4±0.5,106.0±0.5,34.0±0.5,6.3±0.2,17±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7146143,10A,30,3.7V,4.2V,5000,120,103.0±2.5,1.2±0.2,144.0±0.5,46.0±0.5,6.8±0.3,23±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPBA242126,10A,25,3.7V,4.2V,5450,80,116.5±2.5,1.2±0.2,127.5±0.5,42.0±0.5,9.9±0.3,18±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB8650140,10A,10,3.7V,4.2V,7150,96,132.5±3.0,1.5±0.3,140.5±0.5,50.5±0.5,8.3±0.3,28±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB6244100,2C,20,3.7V,4.2V,2700,80,57.0±1.5,2.2±0.4,101.0±0.5,44.0±0.5,6.0±0.2,21±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB6645180,10A,20,3.7V,4.2V,5500,120,114.5±3.0,1.3±0.3,180.0±0.5,45.0±0.5,6.4±0.2,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB6730085,2C,20,3.7V,4.2V,1600,64,34.0±1.5,3.5±0.7,86.0±0.5,30.0±0.5,6.5±0.2,14±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB7242124,2C,8,3.7V,4.2V,4500,80,83.0±2.0,2.0±0.4,125.0±0.5,42.0±0.5,6.9±0.3,16.5±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7845119,1C,5,3.7V,4.2V,5200,80,91.0±2.5,2.3±0.5,120.0±0.5,44.5±0.5,7.5±0.3,22±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB9834050,2C,8,3.7V,4.2V,1700,48,32.0±1.5,4.5±0.9,51.5±0.5,34.0±0.5,9.5±0.3,16±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB6838110,2C,20,3.7V,4.2V,2750,80,58.0±1.5,2.2±0.4,111.0±0.5,38.0±0.5,6.6±0.2,19±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB6645150,2C,20,3.7V,4.2V,4500,96,94.5±2.5,1.5±0.3,150.0±0.5,45.0±0.5,6.4±0.2,20±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB6649135,2C,20,3.7V,4.2V,4500,96,93.5±2.5,1.4±0.3,136.0±0.5,49.0±0.5,6.4±0.2,25±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB6024042,1C,15,3.7V,4.2V,500,32,11.0±1.0,11.8±1.2,44.0±0.5,24.0±0.5,5.8±0.2,12±1,LCO,10.0±1.0,4,0.2,5.0±0.2,
SLPB5430085,1C,20,3.7V,4.2V,1250,48,27.0±1.5,4.1±0.8,86.0±0.5,30.0±0.5,5.2±0.2,14±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB7045135,2C,25,3.7V,4.2V,4500,120,95.0±2.5,1.3±0.3,135.0±0.5,44.5±0.5,6.7±0.3,22±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB7745135,10A,20,3.7V,4.2V,5100,96,102.5±2.5,1.3±0.3,135.0±0.5,44.5±0.5,7.4±0.3,20±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB5845135,1C,5,3.7V,4.2V,4300,80,75.5±2.0,2.6±0.5,135.0±0.5,45.0±0.5,5.6±0.2,22±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB5838115,2C,30,3.7V,4.2V,2400,96,53.0±1.5,2.2±0.4,116.0±0.5,38.5±0.5,5.6±0.2,18±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB6735062,2C,8,3.7V,4.2V,1550,48,28.5±1.5,5.4±1.1,63.0±0.5,35.0±0.5,6.4±0.2,19±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB7134096,2C,20,3.7V,4.2V,2200,64,45.5±1.5,2.7±0.5,97.0±0.5,33.5±0.5,6.6±0.3,15±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB9036128,2C,25,3.7V,4.2V,4000,80,87.5±2.0,1.4±0.3,128.5±0.5,36.0±0.5,8.7±0.3,17±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB6746143,2C,20,3.7V,4.2V,4500,96,92.5±2.5,1.4±0.3,144.0±0.5,46.0±0.5,6.5±0.2,23±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB7534096,2C,20,3.7V,4.2V,2400,64,49.5±1.5,2.3±0.5,97.0±0.5,33.5±0.5,7.2±0.3,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB9942124,10A,20,3.7V,4.2V,5700,80,114.0±2.5,1.3±0.3,125.5±0.5,42.0±0.5,9.6±0.3,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB8242124,2C,20,3.7V,4.2V,4400,80,91.0±2.5,1.4±0.3,125.0±0.5,42.0±0.5,7.9±0.3,18±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPBA742126,10A,15,3.7V,4.2V,6300,120,121.5±2.5,1.3±0.3,127.5±0.5,42.0±0.5,10.3±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB9042126,10A,20,3.7V,4.2V,5200,96,104.0±2.5,1.4±0.3,127.5±0.5,42.0±0.5,8.7±0.3,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB7042126,2C,20,3.7V,4.2V,3800,80,79.0±2.0,1.7±0.3,127.0±0.5,42.0±0.5,6.7±0.3,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB6542126,2C,20,3.7V,4.2V,3500,96,73.0±2.0,1.9±0.4,127.0±0.5,42.0±0.5,6.3±0.2,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB7842126,2C,25,3.7V,4.2V,4200,120,89.0±2.5,1.4±0.3,127.0±0.5,42.0±0.5,7.5±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB6734082,2C,30,3.7V,4.2V,1800,80,38.5±1.5,2.8±0.6,83.0±0.5,34.0±0.5,6.5±0.2,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7034106,2C,20,3.7V,4.2V,2400,64,50.5±1.5,2.4±0.5,106.0±0.5,34.0±0.5,6.7±0.3,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB7130082,2C,20,3.7V,4.2V,1650,64,34.5±1.5,3.1±0.6,83.0±0.5,30.0±0.5,6.8±0.3,15±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB7930082,2C,30,3.7V,4.2V,1800,64,39.0±1.5,2.8±0.6,83.0±0.5,30.0±0.5,7.6±0.3,15±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB7545150,10A,20,3.7V,4.2V,5300,96,109.0±2.5,1.4±0.3,150.0±0.5,45.0±0.5,7.2±0.3,22±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB7948150,10A,20,3.7V,4.2V,6000,120,123.0±2.5,1.2±0.2,150.0±0.5,48.0±0.5,7.6±0.3,25±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB5916075,1C,10,3.7V,4.2V,700,32,14.5±1.0,10.8±1.1,75.0±0.5,16.5±0.5,5.7±0.2,7.5-8.0,LCO,10.0±1.0,4,0.2,4.0±0.2,
SLPB7430048,1C,5,3.7V,4.2V,1100,48,20.5±1.5,9.0±1.8,50.0±0.5,30.0±0.5,7.1±0.3,14±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPBA042124,10A,20,3.7V,4.2V,5500,96,112.0±2.5,1.4±0.3,125.5±0.5,41.8±0.5,9.7±0.3,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB8634076,2C,20,3.7V,4.2V,2200,64,46.0±1.5,2.5±0.5,78.0±0.5,34.0±0.5,8.3±0.3,17±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB5834076,1C,20,3.7V,4.2V,1400,48,30.0±1.5,3.9±0.8,77.5±0.5,34.0±0.5,5.6±0.2,17±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB7119035,1C,15,3.7V,4.2V,380,32,8.5±1.0,14.0±2.8,36.0±0.5,19.0±0.5,6.8±0.3,8.5±0.5,LCO,10.0±1.0,4,0.2,4.0±0.2,
SLPB8624042,1C,15,3.7V,4.2V,800,48,16.5±1.0,7.2±1.4,43.0±0.5,24.0±0.5,8.3±0.3,12±1,LCO,10.0±1.0,6,0.2,4.0±0.2,
SLPB9542126,2C,35,3.7V,4.2V,4700,120,109.0±2.5,1.1±0.2,127.5±0.5,42.0±0.5,9.2±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB9045150,10A,35,3.7V,4.2V,5800,120,132.5±3.0,0.9±0.3,150.5±0.5,45.0±0.5,8.7±0.3,22±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB8745150,10A,30,3.7V,4.2V,6000,120,127.5±3.0,1.1±0.2,150.0±0.5,45.0±0.5,8.4±0.3,22±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB5945150,2C,20,3.7V,4.2V,4000,96,84.0±2.5,1.6±0.3,150.0±0.5,45.0±0.5,5.7±0.2,20±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB7345135,2C,30,3.7V,4.2V,4400,120,94.0±2.5,1.3±0.3,135.0±0.5,45.0±0.5,7.0±0.3,22±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB7645150,10A,25,3.7V,4.2V,5500,120,114.0±3.0,1.2±0.2,150.0±0.5,45.0±0.5,7.3±0.3,22±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB7332094,2C,20,3.7V,4.2V,2300,64,47.0±1.5,2.5±0.5,96.0±0.5,32.0±0.5,7.0±0.3,14±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB6924064,1C,20,3.7V,4.2V,1000,40,21.5±1.5,5.2±1.0,66.0±0.5,24.0±0.5,6.7±0.2,12±1,LCO,10.0±1.0,5,0.2,5.0±0.2,
SLPB6226089,2C,15,3.7V,4.2V,1500,48,29.5±1.5,4.4±0.9,90.0±0.5,26.0±0.5,6.0±0.2,13.5±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPBA642126,10A,15,3.7V,4.2V,6300,80,121.0±2.5,1.5±0.3,127.5±0.5,42.0±0.5,10.3±0.3,18±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB6934096,2C,30,3.7V,4.2V,2100,80,45.0±1.5,2.4±0.5,97.0±0.5,33.5±0.5,6.7±0.2,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB5730060,1C,20,3.7V,4.2V,900,48,19.5±1.0,5.5±1.1,62.0±0.5,30.0±0.5,5.4±0.2,13±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB7630082,2C,20,3.7V,4.2V,1800,64,37.5±1.5,2.9±0.6,83.0±0.5,30.0±0.5,7.3±0.3,15±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB6930048,1C,20,3.7V,4.2V,850,48,19.0±1.0,5.7±1.1,50.0±0.5,30.0±0.5,6.6±0.3,14±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB7646143,10A,20,3.7V,4.2V,5200,96,106.0±3.0,1.3±0.3,144.0±0.5,46.0±0.5,7.3±0.3,23±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB8734106,2C,30,3.7V,4.2V,3000,80,64.0±2.0,1.8±0.4,106.0±0.5,34.0±0.5,8.4±0.3,17±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB9346143,1C,3,3.7V,4.2V,8000,80,134.0±3.0,1.9±0.4,144.0±0.5,46.0±0.5,9.0±0.3,23±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7145150,10A,30,3.7V,4.2V,5000,120,105.5±2.5,1.3±0.3,150.0±0.5,45.0±0.5,6.8±0.3,22±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB6845150,2C,30,3.7V,4.2V,4800,120,101.0±2.5,1.3±0.3,150.0±0.5,45.0±0.5,6.6±0.2,22±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB8245150,10A,30,3.7V,4.2V,5600,120,120.0±3.0,1.1±0.2,150.0±0.5,45.0±0.5,7.9±0.3,22±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB9342126,10A,30,3.7V,4.2V,5000,120,106.5±2.5,1.3±0.3,127.5±0.5,42.0±0.5,9.0±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB6242126,2C,20,3.7V,4.2V,3300,80,69.5±2.0,2.0±0.4,127.0±0.5,42.0±0.5,6.0±0.2,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7342126,2C,20,3.7V,4.2V,4000,96,82.5±2.0,1.7±0.3,127.0±0.5,42.0±0.5,7.0±0.3,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB6242126,2C,30,3.7V,4.2V,3200,96,69.5±2.0,1.7±0.3,127.0±0.5,42.0±0.5,6.0±0.2,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB7442126,2C,15,3.7V,4.2V,4500,96,87.0±2.5,1.7±0.3,127.0±0.5,42.0±0.5,7.1±0.3,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB7535062,2C,20,3.7V,4.2V,1500,64,32.0±1.5,3.5±0.7,63.0±0.5,35.0±0.5,7.2±0.3,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
