Sun_Teeth,Earth_Teeth,Moon_Teeth,Ring_Teeth,Overall_Ratio,DP,Ring_Pitch_Dia,Ring_OD,Carrier_Dia,Safety_Factor
18,44,22,84,10.3333333333333,22,3.81818181818182,3.90909090909091,2.81818181818182,2.35191028155204
18,44,25,87,9.50666666666667,22,3.95454545454545,4.04545454545455,2.81818181818182,2.35191028155204
18,45,24,87,10.0625,22,3.95454545454545,4.04545454545455,2.86363636363636,2.35191028155204
18,46,23,87,10.6666666666667,22,3.95454545454545,4.04545454545455,2.90909090909091,2.35191028155204
18,46,26,90,9.84615384615385,22,4.09090909090909,4.18181818181818,2.90909090909091,2.35191028155204
18,47,22,87,11.3257575757576,22,3.95454545454545,4.04545454545455,2.95454545454545,2.35191028155204
18,47,25,90,10.4,22,4.09090909090909,4.18181818181818,2.95454545454545,2.35191028155204
18,48,24,90,11,22,4.09090909090909,4.18181818181818,3,2.35191028155204
18,49,23,90,11.6521739130435,22,4.09090909090909,4.18181818181818,3.04545454545455,2.35191028155204
18,49,26,93,10.7371794871795,22,4.22727272727273,4.31818181818182,3.04545454545455,2.35191028155204
18,50,22,90,12.3636363636364,22,4.09090909090909,4.18181818181818,3.09090909090909,2.35191028155204
18,50,25,93,11.3333333333333,22,4.22727272727273,4.31818181818182,3.09090909090909,2.35191028155204
17,40,22,79,9.44919786096257,22,3.59090909090909,3.68181818181818,2.59090909090909,2.17811755848158
17,40,25,82,8.71764705882353,22,3.72727272727273,3.81818181818182,2.59090909090909,2.17811755848158
17,41,24,82,9.24019607843137,22,3.72727272727273,3.81818181818182,2.63636363636364,2.17811755848158
17,42,23,82,9.80818414322251,22,3.72727272727273,3.81818181818182,2.68181818181818,2.17811755848158
17,42,26,85,9.07692307692308,22,3.86363636363636,3.95454545454545,2.68181818181818,2.17811755848158
17,43,22,82,10.427807486631,22,3.72727272727273,3.81818181818182,2.72727272727273,2.17811755848158
17,43,25,85,9.6,22,3.86363636363636,3.95454545454545,2.72727272727273,2.17811755848158
17,44,24,85,10.1666666666667,22,3.86363636363636,3.95454545454545,2.77272727272727,2.17811755848158
17,45,23,85,10.7826086956522,22,3.86363636363636,3.95454545454545,2.81818181818182,2.17811755848158
17,45,26,88,9.95927601809955,22,4,4.09090909090909,2.81818181818182,2.17811755848158
17,46,22,85,11.4545454545455,22,3.86363636363636,3.95454545454545,2.86363636363636,2.17811755848158
17,46,25,88,10.5247058823529,22,4,4.09090909090909,2.86363636363636,2.17811755848158
17,47,24,88,11.1372549019608,22,4,4.09090909090909,2.90909090909091,2.17811755848158
17,48,23,88,11.8030690537084,22,4,4.09090909090909,2.95454545454545,2.17811755848158
17,48,26,91,10.8823529411765,22,4.13636363636364,4.22727272727273,2.95454545454545,2.17811755848158
17,49,22,88,12.5294117647059,22,4,4.09090909090909,3,2.17811755848158
17,49,25,91,11.4917647058824,22,4.13636363636364,4.22727272727273,3,2.17811755848158
17,50,24,91,12.1519607843137,22,4.13636363636364,4.22727272727273,3.04545454545455,2.17811755848158
